1,بسم,3,2,1
2,الله,2155,1,1
3,الرحمن,45,5,0
4,الرحيم,34,0,0
5,الحمد,26,20,3
6,لله,116,7,7
7,رب,130,33,0
8,العالمين,61,0,0
9,الرحمن,45,5,0
10,الرحيم,34,0,0
11,مالك,3,0,0
12,يوم,217,9,0
13,الدين,47,0,0
14,اياك,1,0,0
15,نعبد,6,0,0
16,واياك,1,0,0
17,نستعين,1,0,0
18,اهدنا,1,0,0
19,الصراط,6,1,0
20,المستقيم,5,0,0
21,صراط,32,0,0
22,الذين,810,0,0
23,انعمت,7,0,0
24,عليهم,214,0,0
25,غير,69,0,0
26,المغضوب,1,0,0
27,عليهم,214,14,0
28,ولا,658,0,0
29,الضالين,6,0,0
30,الم,84,0,0
31,ذلك,280,0,0
32,الكتاب,163,5,2
33,لا,812,13,9
34,ريب,17,9,0
35,فيه,127,1,0
36,هدى,38,0,0
37,للمتقين,18,2,0
38,الذين,810,3,0
39,يؤمنون,86,0,0
40,بالغيب,12,0,0
41,ويقيمون,2,1,0
42,الصلاة,58,2,2
43,ومما,11,5,5
44,رزقناهم,10,5,1
45,ينفقون,20,1,0
46,والذين,164,1,0
47,يؤمنون,86,1,1
48,بما,296,15,4
49,انزل,95,11,2
50,اليك,77,5,2
51,وما,646,18,3
52,انزل,95,12,2
53,من,2763,27,0
54,قبلك,33,0,0
55,وبالاخرة,1,0,0
56,هم,261,2,1
57,يوقنون,11,1,1
58,اولئك,133,1,1
59,على,670,1,1
60,هدى,38,2,1
61,من,2763,15,1
62,ربهم,111,1,1
63,واولئك,25,16,5
64,هم,261,11,1
65,المفلحون,12,1,0
66,ان,1605,83,17
67,الذين,810,133,0
68,كفروا,189,0,0
69,سواء,26,1,0
70,عليهم,214,1,1
71,اانذرتهم,2,1,1
72,ام,131,5,1
73,لم,178,1,1
74,تنذرهم,2,1,1
75,لا,812,42,0
76,يؤمنون,86,0,0
77,ختم,1,0,0
78,الله,2155,45,3
79,على,670,12,0
80,قلوبهم,65,0,0
81,وعلى,39,0,0
82,سمعهم,3,0,0
83,وعلى,39,0,0
84,ابصارهم,9,0,0
85,غشاوة,2,0,0
86,ولهم,43,22,4
87,عذاب,150,13,0
88,عظيم,49,0,0
89,ومن,342,11,9
90,الناس,182,14,2
91,من,2763,5,1
92,يقول,39,1,1
93,امنا,38,7,0
94,بالله,139,0,0
95,وباليوم,1,0,0
96,الاخر,29,0,0
97,وما,646,9,0
98,هم,261,0,0
99,بمؤمنين,6,0,0
