1,بسم,112,111,110
2,الله,2260,110,110
3,الرحمٰن,154,114,4
4,الرحيم,143,4,4
5,الحمد,26,20,3
6,لله,116,7,7
7,رب,128,33,0
8,العٰلمين,61,0,0
9,الرحمٰن,154,114,0
10,الرحيم,143,0,0
11,مٰلك,2,0,0
12,يوم,217,9,0
13,الدين,47,0,0
14,إياك,1,0,0
15,نعبد,6,0,0
16,وإياك,1,0,0
17,نستعين,1,0,0
18,اهدنا,1,0,0
19,الصرٰط,6,1,0
20,المستقيم,5,0,0
21,صرٰط,32,0,0
22,الذين,811,0,0
23,أنعمت,7,0,0
24,عليهم,214,0,0
25,غير,69,0,0
26,المغضوب,1,0,0
27,عليهم,214,14,0
28,ولا,658,0,0
29,الضالين,6,0,0
30,بسم,112,111,110
31,الله,2260,110,110
32,الرحمٰن,154,114,5
33,الرحيم,143,5,0
34,الم,6,0,0
35,ذٰلك,280,0,0
36,الكتٰب,163,5,2
37,لا,812,13,9
38,ريب,17,9,0
39,فيه,127,1,0
40,هدى,36,0,0
41,للمتقين,18,2,0
42,الذين,811,3,0
43,يؤمنون,86,0,0
44,بالغيب,12,0,0
45,ويقيمون,2,1,0
46,الصلوٰة,58,2,2
47,ومما,11,5,5
48,رزقنٰهم,10,5,1
49,ينفقون,20,1,0
50,والذين,164,1,0
51,يؤمنون,86,1,1
52,بما,296,15,4
53,أنزل,95,11,2
54,إليك,77,5,2
55,وما,646,18,3
56,أنزل,95,12,2
57,من,2759,27,0
58,قبلك,33,0,0
59,وبالءاخرة,1,0,0
60,هم,261,2,1
61,يوقنون,11,1,1
62,أولٰئك,133,1,1
63,علىٰ,428,1,1
64,هدى,36,2,1
65,من,2759,15,1
66,ربهم,111,1,1
67,وأولٰئك,25,16,5
68,هم,261,11,1
69,المفلحون,12,1,0
70,إن,966,83,17
71,الذين,811,133,0
72,كفروا,189,0,0
73,سواء,26,1,0
74,عليهم,214,1,1
75,ءأنذرتهم,2,1,1
76,أم,130,5,1
77,لم,177,1,1
78,تنذرهم,2,1,1
79,لا,812,42,0
80,يؤمنون,86,0,0
81,ختم,1,0,0
82,الله,2260,38,3
83,علىٰ,428,12,0
84,قلوبهم,65,0,0
85,وعلىٰ,16,0,0
86,سمعهم,3,0,0
87,وعلىٰ,16,0,0
88,أبصٰرهم,9,0,0
89,غشٰوة,2,0,0
90,ولهم,43,22,4
91,عذاب,150,13,0
92,عظيم,49,0,0
93,ومن,339,11,9
94,الناس,178,12,2
95,من,2759,5,1
96,يقول,39,1,1
97,ءامنا,37,7,0
98,بالله,139,0,0
99,وباليوم,1,0,0
100,الءاخر,29,0,0
101,وما,646,9,0
102,هم,261,0,0
103,بمؤمنين,6,0,0
104,يخٰدعون,2,1,0
105,الله,2260,6,1
106,والذين,164,34,0
107,ءامنوا,263,0,0
108,وما,646,0,0
109,يخدعون,1,0,0
110,إلا,664,4,3
111,أنفسهم,72,4,2
112,وما,646,5,0
113,يشعرون,21,0,0
114,فى,1182,23,9
115,قلوبهم,65,10,0
116,مرض,12,0,0
117,فزادهم,2,0,0
118,الله,2260,0,0
119,مرضا,1,0,0
120,ولهم,43,22,11
121,عذاب,150,36,0
122,أليم,52,2,2
123,بما,296,41,0
124,كانوا,229,1,0
125,يكذبون,6,0,0
126,وإذا,134,15,12
127,قيل,34,19,1
128,لهم,373,3,0
129,لا,812,0,0
130,تفسدوا,4,3,3
131,فى,1182,175,1
132,الأرض,287,1,0
133,قالوا,250,4,0
134,إنما,113,2,0
135,نحن,65,0,0
136,مصلحون,2,0,0
137,ألا,99,5,2
138,إنهم,63,2,0
139,هم,261,0,0
140,المفسدون,1,0,0
141,ولٰكن,112,7,0
142,لا,812,14,0
143,يشعرون,21,1,0
144,وإذا,134,15,12
145,قيل,34,19,1
146,لهم,373,1,0
147,ءامنوا,263,0,0
148,كما,59,1,0
149,ءامن,27,0,0
150,الناس,178,0,0
151,قالوا,250,1,0
152,أنؤمن,3,0,0
153,كما,59,1,0
154,ءامن,27,0,0
155,السفهاء,5,0,0
156,ألا,99,5,2
157,إنهم,63,2,0
158,هم,261,0,0
159,السفهاء,5,0,0
160,ولٰكن,112,7,0
161,لا,812,42,0
162,يعلمون,82,2,1
